iter	Logloss
0	0.6764040942
1	0.6623155816
2	0.6475425348
3	0.6337234879
4	0.6233677455
5	0.612701953
6	0.6021016128
7	0.5917083067
8	0.5830656319
9	0.5738537744
10	0.565824059
11	0.5576343003
12	0.5506880851
13	0.544515907
14	0.5380223617
15	0.5314314392
16	0.5256355299
17	0.5198172771
18	0.5150589948
19	0.5105419856
20	0.5059520317
21	0.5012799527
22	0.4971892325
23	0.4931907119
24	0.4897596786
25	0.4859624515
26	0.4822122926
27	0.4793424709
28	0.4761442017
29	0.4727011379
30	0.4695980993
31	0.4668710823
32	0.4636768257
33	0.4610940345
34	0.4590681069
35	0.4567098275
36	0.4533566631
37	0.4506673738
38	0.4482369174
39	0.4457180106
40	0.444103101
41	0.4419143887
42	0.439768932
43	0.4383376053
44	0.4368896297
45	0.4348301445
46	0.432920947
47	0.430834477
48	0.4288866148
49	0.4273543933
50	0.4258153358
51	0.4242382964
52	0.4226659148
53	0.4201233489
54	0.418064319
55	0.416655354
56	0.4149984402
57	0.4137968288
58	0.412399273
59	0.4113754014
60	0.4094813889
61	0.4077497979
62	0.4059306423
63	0.4044362099
64	0.4034975387
65	0.4018012692
66	0.4006830724
67	0.399821046
68	0.398249535
69	0.3972091337
70	0.3955710897
71	0.394605592
72	0.3928267617
73	0.391390894
74	0.3904669032
75	0.3893644036
76	0.3883084544
77	0.3876174879
78	0.3865499561
79	0.3854751996
80	0.3848103541
81	0.3835182923
82	0.3825285221
83	0.3817003373
84	0.3809727768
85	0.380298956
86	0.3797882944
87	0.3789030183
88	0.3773880992
89	0.3766183023
90	0.3752437018
91	0.3741727965
92	0.3734210177
93	0.3727815297
94	0.3719116265
95	0.3703310704
96	0.3694417962
97	0.3687354473
98	0.3681851585
99	0.3673857217
100	0.3667244304
101	0.3661812806
102	0.3655462488
103	0.3646315979
104	0.3636619558
105	0.3633042965
106	0.3624433798
107	0.3615237248
108	0.3609487684
109	0.3603751937
110	0.3595497635
111	0.3586979819
112	0.3578246032
113	0.3573949075
114	0.3570719843
115	0.3565425114
116	0.3562044034
117	0.3554152705
118	0.3544807443
119	0.3539791495
120	0.3535420694
121	0.3528363017
122	0.352246148
123	0.3517219206
124	0.3512624891
125	0.3507397833
126	0.3501579453
127	0.3497356141
128	0.3491142608
129	0.3486640085
130	0.348028019
131	0.3474077776
132	0.3467743671
133	0.3463461298
134	0.3459258024
135	0.3454371055
136	0.344886204
137	0.344537358
138	0.3441574665
139	0.3437407414
140	0.3434560625
141	0.3430093559
142	0.3424822626
143	0.3417910514
144	0.3412854039
145	0.3409355364
146	0.3403842825
147	0.3401150253
148	0.3398673085
149	0.3395707662
150	0.3393138418
151	0.3389891995
152	0.3386782463
153	0.3382492571
154	0.3375678609
155	0.3371852386
156	0.3369295885
